:			Group	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Black	Dot	0	Group	PC 1	PC 2	PC 3	PC 4	PC 5	PC 6	PC 7	PC 8	PC 9	PC 10	PC 11	PC 12	PC 13	PC 14	PC 15	PC 16	PC 17	PC 18	PC 19	PC 20	PC 21	PC 22	PC 23	PC 24	PC 25	PC 26	PC 27	PC 28	PC 29	PC 30	PC 31	PC 32	PC 33	PC 34	PC 35	PC 36	PC 37	PC 38	PC 39	PC 40	PC 41	PC 42	PC 43	PC 44	PC 45	PC 46	PC 47	PC 48	PC 49	PC 50	PC 51	PC 52	PC 53	PC 54	PC 55	PC 56	PC 57	PC 58	65	
Darkorange	Dot	2	G3	0.041868	0.019738	0.024255	-0.009853	-0.0060408	-0.021154	0.0037818	0.0009715	-0.0051837	0.00044285	-0.0049899	0.0044106	0.0034727	-0.0041264	0.00030567	0.0029475	0.00079412	-0.00076019	-0.00014847	0.00072493	-0.00026809	0.0001373	-0.0022647	0.0013206	0.0004887	-0.000948	0.0014974	0.0014425	-0.00049441	-0.0008524	0.00022941	5.9279E-05	-0.00061471	0.00017446	0.00021022	-0.00017632	-0.00061	0.0010697	0.00068287	0.00026375	-0.00017147	0.00055379	9.2647E-05	0.00017434	-0.00027663	-1.5632E-05	0.00021964	8.1191E-05	-3.3655E-05	0.00020058	4.4044E-08	-7.8641E-05	-0.00013228	0.00015921	-9.1225E-05	-0.00026349	3.8585E-05	0.00013447	-7.97E-05	
Darkorange	Dot	3	G3	-0.071319	0.040728	0.020801	-0.0015333	-0.0094714	0.0063705	-0.003553	-0.0061404	-0.010856	0.003002	-0.0037618	-0.00073732	-0.0083041	0.0073211	0.0030545	-0.0014377	-0.00070659	-0.002621	0.0026108	0.00021554	0.0010877	-0.0020972	0.00073231	-0.00057011	0.00032837	-0.0013276	4.2365E-05	-0.00079894	-0.0003798	0.0016621	-0.0020616	-0.0014434	0.00045177	-0.00083037	-0.00016447	-0.00072184	-0.00029757	-0.00027276	-0.00024449	0.00021967	-0.00045998	0.00027371	7.2417E-05	-0.00018083	0.00031514	-0.00028776	0.00017215	-0.00045147	-0.00018845	0.00033507	5.8385E-05	-0.00011001	-0.00020846	0.00016489	1.119E-05	9.8023E-06	4.6252E-05	-6.5725E-06	-2.4202E-05	
Darkorange	Dot	4	G3	-0.17759	0.019089	0.013151	-0.019155	0.0053574	0.0099919	0.013069	0.0035423	0.010664	0.0029058	0.0028441	0.0010266	0.0010814	0.0017929	-0.0055775	0.0034741	-0.0029738	-0.0038752	0.00040641	-0.0015881	-0.0033746	0.0025881	-0.0023045	0.0013782	0.0005011	-0.00042111	-0.0013513	-0.0017186	-0.00024003	6.6611E-05	-0.0022376	0.00028359	-0.0010432	0.0011044	0.00012369	-0.00076004	-0.00017499	-9.3708E-05	-0.00030797	-0.00010343	0.00039126	-0.00025071	-0.00015892	-0.00016649	-0.0003588	-0.00041184	0.00019159	-2.1907E-06	1.9553E-06	-6.9361E-05	-0.00016429	-0.0002806	-6.5557E-05	-0.00014219	-9.2953E-05	2.2746E-05	-3.7743E-05	-9.1021E-06	2.6062E-06	
Darkorange	Dot	5	G3	-0.14474	0.030258	0.019936	0.033559	0.0028235	0.0066968	0.0095247	0.01148	0.0034936	-0.0012817	-0.0051035	-0.0019416	-0.0013927	-0.0049709	-0.0047625	-0.0039062	-0.0015344	-0.0029813	0.0029354	0.0015308	0.00042269	0.001742	0.0011287	-0.00021665	-0.001624	0.00029246	-0.00032999	0.00027729	0.00039722	-0.00079442	0.00022611	0.00069639	-0.00092502	0.00094445	-0.00022756	0.00059943	-0.00022192	-0.00032688	0.00066607	0.0011544	-0.00019194	-5.1683E-05	0.00033552	-7.2603E-05	8.0732E-05	0.00033265	0.00044469	-6.0312E-05	2.2329E-05	0.00046952	0.00018592	0.00012988	2.0227E-05	0.00012034	7.0704E-05	9.57E-05	-6.3308E-05	-4.9711E-05	2.5409E-05	
Darkorange	Dot	6	G3	-0.21632	0.0095295	0.015983	0.0093434	0.022357	0.007483	-0.013083	0.00065117	-0.008104	0.012693	0.0081804	-0.0092043	0.0065785	0.0010529	0.002211	0.0043352	-0.0022383	0.0015229	-0.00016138	0.00075141	-0.00063246	-0.00053711	0.00080736	-0.00073571	-0.0011742	-0.0014412	-0.00027341	8.0656E-05	-0.0014679	0.00095944	0.00032128	0.0014186	9.1614E-06	0.00082809	0.001453	0.00070738	-0.0004982	-0.00034315	0.00026075	-6.934E-05	-0.00022237	0.00063834	0.00043446	0.00043639	-1.0228E-05	-0.00024875	-0.00011935	-0.0003069	2.9109E-05	-0.00014141	-7.246E-05	-4.4353E-05	8.5142E-05	8.9008E-05	3.1031E-05	8.6064E-05	-4.2007E-05	8.8132E-06	8.1249E-07	
Darkorange	Dot	7	G3	0.016644	0.024973	0.011028	-0.034873	-0.017216	-0.0037388	0.013469	-0.0046013	-0.017737	0.0054715	-0.0063242	0.0061225	5.0565E-05	-0.00051915	0.001375	0.0033501	-8.303E-05	-0.00016168	0.0013406	1.6761E-07	-0.0001875	-0.0025322	-0.0039771	0.00087936	0.00026987	-0.00017564	-0.00037225	0.0010759	-0.0015737	0.0008251	0.00073558	0.00084463	0.00070213	-2.3365E-05	-4.7697E-05	-0.00014047	-0.00011721	-0.00010191	-8.9584E-05	0.00041809	3.4146E-05	-0.00074424	-8.6998E-05	0.00013793	-2.8354E-05	6.8631E-05	0.00012648	9.2749E-05	-1.3663E-05	-0.00017503	0.00030306	0.00016979	0.00018447	-8.5177E-05	-4.2083E-05	7.0334E-05	-0.00014637	-8.7831E-05	3.1077E-05	
Darkorange	Dot	8	G3	0.049869	0.019368	-0.0073166	0.013254	0.0069753	-0.018712	0.018947	-0.0048765	-0.00069288	-0.0025025	-0.0027745	-0.00032326	0.00041653	0.0075887	0.00014535	-0.00031924	-0.0017837	0.0038706	-0.002677	-0.0007673	-0.00078953	-0.00041912	-0.001174	0.0010089	-0.001113	-0.00084566	0.00032881	-0.0017929	0.00064785	-0.00080202	-7.1211E-05	9.106E-05	0.00071568	0.0006438	4.4952E-06	0.0004562	0.00013643	-0.0010132	0.00014831	-0.00020784	0.00043945	-1.3587E-05	-0.00054193	2.526E-05	-0.00021667	0.0003872	-1.252E-05	-0.00017523	-9.9723E-05	0.0001177	-3.5639E-05	-0.00012328	0.0002829	0.00032355	0.00014841	-0.00020653	5.5258E-05	-5.2658E-05	-1.8655E-05	
Darkorange	Dot	9	G3	-0.05868	0.026562	-0.056108	-0.0097385	0.023199	-0.014823	0.013096	-0.0020457	0.0057585	0.010588	-0.00013415	0.002142	0.00062863	0.004901	0.0038545	-0.0035021	-0.0028521	-0.0039381	-0.0025952	-0.00078724	0.00044824	0.00045702	0.0017484	0.0012598	-0.00078485	-0.0004709	0.00071653	0.00026968	0.00036523	-0.00073066	0.00037799	-0.00093723	-0.0001861	0.00038694	0.00048249	-1.9638E-05	-0.0010245	0.0010415	-0.00073243	9.9689E-05	-0.0007508	-0.00019381	5.7127E-05	0.00029982	-0.00014248	0.00044413	-0.00022921	-0.00021117	-6.3769E-05	7.3253E-06	8.191E-05	0.00021223	-3.0617E-05	-0.00016629	-8.319E-05	3.2344E-05	1.723E-05	-4.2718E-05	-1.6074E-05	
